Capability ID,Capability,v4.2 Status,v5 Status,v5 Category,Verification
CI-002,Exact expected lane-set validation,PRESENT,PRESERVED,Control Plane,Exact stable ID retained in final v5 registry; no silent normative removal.
CI-003,Exact-head stale protection,PRESENT,PRESERVED,Control Plane,Exact stable ID retained in final v5 registry; no silent normative removal.
CI-004,Required workflows always report,PRESENT,PRESERVED,Control Plane,Exact stable ID retained in final v5 registry; no silent normative removal.
CI-005,Internal relevance detection,PRESENT,PRESERVED,Control Plane,Exact stable ID retained in final v5 registry; no silent normative removal.
CI-006,Read-only code-executing workers,PRESENT,PRESERVED,Control Plane,Exact stable ID retained in final v5 registry; no silent normative removal.
CI-007,Privileged jobs execute no PR code,PRESENT,PRESERVED,Control Plane,Exact stable ID retained in final v5 registry; no silent normative removal.
CI-008,Full-SHA action and runtime pins,PRESENT,PRESERVED,Control Plane,Exact stable ID retained in final v5 registry; no silent normative removal.
CI-009,Expected-head native auto-merge binding,PRESENT,PRESERVED,Control Plane,Exact stable ID retained in final v5 registry; no silent normative removal.
CI-010,Control-plane self-modification guard,PRESENT,PRESERVED,Control Plane,Exact stable ID retained in final v5 registry; no silent normative removal.
CI-011,Live settings and ruleset read-back,PRESENT,PRESERVED,Control Plane,Exact stable ID retained in final v5 registry; no silent normative removal.
CI-012,Owner bypass and zero native approvals,PRESENT,PRESERVED,Control Plane,Exact stable ID retained in final v5 registry; no silent normative removal.
EVID-001,Proof-carrying pull request,PRESENT,PRESERVED,Evidence,Exact stable ID retained in final v5 registry; no silent normative removal.
EVID-002,Exact-head evidence manifest,PRESENT,PRESERVED,Evidence,Exact stable ID retained in final v5 registry; no silent normative removal.
EVID-003,Stable evidence IDs,PRESENT,PRESERVED,Evidence,Exact stable ID retained in final v5 registry; no silent normative removal.
EVID-004,Claim-linked selectors and commands,PRESENT,PRESERVED,Evidence,Exact stable ID retained in final v5 registry; no silent normative removal.
EVID-005,SHA-256 artifact binding,PRESENT,PRESERVED,Evidence,Exact stable ID retained in final v5 registry; no silent normative removal.
EVID-006,Managed Issue and PR Evidence Index,PRESENT,PRESERVED,Evidence,Exact stable ID retained in final v5 registry; no silent normative removal.
EVID-007,Failure artifacts uploaded always,PRESENT,PRESERVED,Evidence,Exact stable ID retained in final v5 registry; no silent normative removal.
EVID-008,Provider runtime prompt provenance,PRESENT,PRESERVED,Evidence,Exact stable ID retained in final v5 registry; no silent normative removal.
EVID-009,Evidence expiration and retention,PRESENT,PRESERVED,Evidence,Exact stable ID retained in final v5 registry; no silent normative removal.
FAIL-001,Operational Recovery Loop,PRESENT,PRESERVED,Failure and Recovery,Exact stable ID retained in final v5 registry; no silent normative removal.
FAIL-002,Failure preservation before retry,PRESENT,PRESERVED,Failure and Recovery,Exact stable ID retained in final v5 registry; no silent normative removal.
FAIL-003,Failure taxonomy and UNKNOWN class,PRESENT,PRESERVED,Failure and Recovery,Exact stable ID retained in final v5 registry; no silent normative removal.
FAIL-004,One accountable lane per failure,PRESENT,PRESERVED,Failure and Recovery,Exact stable ID retained in final v5 registry; no silent normative removal.
FAIL-005,Retry-versus-repair contract,PRESENT,PRESERVED,Failure and Recovery,Exact stable ID retained in final v5 registry; no silent normative removal.
FAIL-006,Bounded diagnostic retry budget,PRESENT,PRESERVED,Failure and Recovery,Exact stable ID retained in final v5 registry; no silent normative removal.
FAIL-007,Retry-to-green flake signal,PRESENT,PRESERVED,Failure and Recovery,Exact stable ID retained in final v5 registry; no silent normative removal.
FAIL-008,Partial-green never complete,PRESENT,PRESERVED,Failure and Recovery,Exact stable ID retained in final v5 registry; no silent normative removal.
FAIL-009,Recovery acceptance criteria,PRESENT,PRESERVED,Failure and Recovery,Exact stable ID retained in final v5 registry; no silent normative removal.
FAIL-010,Escaped-defect cheapest-boundary tightening,PRESENT,PRESERVED,Failure and Recovery,Exact stable ID retained in final v5 registry; no silent normative removal.
REL-001,One VERIFY Issue per Milestone,PRESENT,PRESERVED,Release and Runtime,Exact stable ID retained in final v5 registry; no silent normative removal.
REL-002,Release-level exact-main verification,PRESENT,PRESERVED,Release and Runtime,Exact stable ID retained in final v5 registry; no silent normative removal.
REL-003,Qualified Release Verification Mold,PRESENT,PRESERVED,Release and Runtime,Exact stable ID retained in final v5 registry; no silent normative removal.
REL-004,Canary promotion decision contract,PRESENT,PRESERVED,Release and Runtime,Exact stable ID retained in final v5 registry; no silent normative removal.
REL-005,Automated halt and rollback thresholds,PRESENT,PRESERVED,Release and Runtime,Exact stable ID retained in final v5 registry; no silent normative removal.
REL-006,Backup restore verification,PRESENT,PRESERVED,Release and Runtime,Exact stable ID retained in final v5 registry; no silent normative removal.
REL-007,Runtime high-signal invariants,PRESENT,PRESERVED,Release and Runtime,Exact stable ID retained in final v5 registry; no silent normative removal.
REL-008,SBOM generation,PRESENT,PRESERVED,Release and Runtime,Exact stable ID retained in final v5 registry; no silent normative removal.
REL-009,Artifact attestation and provenance,PRESENT,PRESERVED,Release and Runtime,Exact stable ID retained in final v5 registry; no silent normative removal.
REL-010,Selected release evidence promotion,PRESENT,PRESERVED,Release and Runtime,Exact stable ID retained in final v5 registry; no silent normative removal.
TOOL-001,Complete canonical artifact inventory,PRESENT,PRESERVED,Templates and Tooling,Exact stable ID retained in final v5 registry; no silent normative removal.
TOOL-002,Versioned JSON Schemas,PRESENT,PRESERVED,Templates and Tooling,Exact stable ID retained in final v5 registry; no silent normative removal.
TOOL-003,Positive and negative template fixtures,PRESENT,PRESERVED,Templates and Tooling,Exact stable ID retained in final v5 registry; no silent normative removal.
TOOL-004,Canonical and active template synchronization,PRESENT,PRESERVED,Templates and Tooling,Exact stable ID retained in final v5 registry; no silent normative removal.
TOOL-005,No successful placeholder commands,PRESENT,PRESERVED,Templates and Tooling,Exact stable ID retained in final v5 registry; no silent normative removal.
TOOL-006,Modular standardctl architecture,PRESENT,PRESERVED,Templates and Tooling,Exact stable ID retained in final v5 registry; no silent normative removal.
TOOL-007,Capabilities ready invalidate triage commands,PRESENT,PRESERVED,Templates and Tooling,Exact stable ID retained in final v5 registry; no silent normative removal.
TOOL-008,Exact-SHA standard.lock written last,PRESENT,PRESERVED,Templates and Tooling,Exact stable ID retained in final v5 registry; no silent normative removal.
TOOL-009,Digest-pinned offline bootstrap bundle,PRESENT,PRESERVED,Templates and Tooling,Exact stable ID retained in final v5 registry; no silent normative removal.
TOOL-010,CLI compatibility and alias preservation,PRESENT,PRESERVED,Templates and Tooling,Exact stable ID retained in final v5 registry; no silent normative removal.
MET-001,Outcome and DORA metrics,PRESENT,PRESERVED,Metrics and Improvement,Exact stable ID retained in final v5 registry; no silent normative removal.
MET-002,Gate latency and first-pass-green metrics,PRESENT,PRESERVED,Metrics and Improvement,Exact stable ID retained in final v5 registry; no silent normative removal.
MET-003,Reviewer precision recall and false-block metrics,PRESENT,PRESERVED,Metrics and Improvement,Exact stable ID retained in final v5 registry; no silent normative removal.
MET-004,Context and cold-resume metrics,PRESENT,PRESERVED,Metrics and Improvement,Exact stable ID retained in final v5 registry; no silent normative removal.
MET-005,Mold qualification and mutation metrics,PRESENT,PRESERVED,Metrics and Improvement,Exact stable ID retained in final v5 registry; no silent normative removal.
MET-006,Failure and recovery metrics,PRESENT,PRESERVED,Metrics and Improvement,Exact stable ID retained in final v5 registry; no silent normative removal.
MET-007,Documentation and template metrics,PRESENT,PRESERVED,Metrics and Improvement,Exact stable ID retained in final v5 registry; no silent normative removal.
MET-008,Discovery and autonomy outcome metrics,PRESENT,PRESERVED,Metrics and Improvement,Exact stable ID retained in final v5 registry; no silent normative removal.
MET-009,Decision-changing research ratio,PRESENT,PRESERVED,Metrics and Improvement,Exact stable ID retained in final v5 registry; no silent normative removal.
MET-010,Capability ROI experiments and eject thresholds,PRESENT,PRESERVED,Metrics and Improvement,Exact stable ID retained in final v5 registry; no silent normative removal.
ORC-001,Autonomous phase advancement,PRESENT,PRESERVED,Autonomous Orchestration,Exact stable ID retained in final v5 registry; no silent normative removal.
ORC-002,Machine-selected next safe action,PRESENT,PRESERVED,Autonomous Orchestration,Exact stable ID retained in final v5 registry; no silent normative removal.
ORC-003,Automatic fresh-role dispatch,PRESENT,PRESERVED,Autonomous Orchestration,Exact stable ID retained in final v5 registry; no silent normative removal.
ORC-004,Policy-constrained provider selection,PRESENT,PRESERVED,Autonomous Orchestration,Exact stable ID retained in final v5 registry; no silent normative removal.
ORC-005,Human-by-exception escalation,PRESENT,PRESERVED,Autonomous Orchestration,Exact stable ID retained in final v5 registry; no silent normative removal.
ORC-006,Stop-only-on-defined conditions,PRESENT,PRESERVED,Autonomous Orchestration,Exact stable ID retained in final v5 registry; no silent normative removal.
ORC-007,Bounded autonomous self-healing loop,PRESENT,PRESERVED,Autonomous Orchestration,Exact stable ID retained in final v5 registry; no silent normative removal.
ORC-008,Automatic validated remediation dispatch,PRESENT,PRESERVED,Autonomous Orchestration,Exact stable ID retained in final v5 registry; no silent normative removal.
ORC-009,Exactly-once transition and dispatch semantics,PRESENT,PRESERVED,Autonomous Orchestration,Exact stable ID retained in final v5 registry; no silent normative removal.
ORC-010,Dependency-safe autonomous slice continuation,PRESENT,PRESERVED,Autonomous Orchestration,Exact stable ID retained in final v5 registry; no silent normative removal.
ORC-011,Autonomous Issue and Milestone progression,PRESENT,PRESERVED,Autonomous Orchestration,Exact stable ID retained in final v5 registry; no silent normative removal.
ORC-012,Merge-triggered cleanup and continuation,PRESENT,PRESERVED,Autonomous Orchestration,Exact stable ID retained in final v5 registry; no silent normative removal.
ORC-013,Automatic Release-Mold handoff,PRESENT,PRESERVED,Autonomous Orchestration,Exact stable ID retained in final v5 registry; no silent normative removal.
ORC-014,Orchestration attempt time cost budgets,PRESENT,PRESERVED,Autonomous Orchestration,Exact stable ID retained in final v5 registry; no silent normative removal.
ORC-015,Deadlock and no-progress detection,PRESENT,PRESERVED,Autonomous Orchestration,Exact stable ID retained in final v5 registry; no silent normative removal.
ORC-016,Cross-provider orchestration replay equivalence,PRESENT,PRESERVED,Autonomous Orchestration,Exact stable ID retained in final v5 registry; no silent normative removal.
ORC-017,No model self-promotion of authority,PRESENT,PRESERVED,Autonomous Orchestration,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-001,Canonical Standards Index,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-002,Always-On Constitutional Bootloader,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-003,Deterministic Standards Route Compiler,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-004,Meta-Context Applicability Engine,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
STD-005,Standards Context Receipt,PRESENT,PRESERVED,Standards Adherence and Meta-Context,Exact stable ID retained in final v5 registry; no silent normative removal.
