Capability ID,Capability,v5 Category,Preserved-v4.2
REL-004,Canary promotion decision contract,Release and Runtime,yes
REL-005,Automated halt and rollback thresholds,Release and Runtime,yes
REL-006,Backup restore verification,Release and Runtime,yes
REL-007,Runtime high-signal invariants,Release and Runtime,yes
REL-008,SBOM generation,Release and Runtime,yes
REL-009,Artifact attestation and provenance,Release and Runtime,yes
REL-010,Selected release evidence promotion,Release and Runtime,yes
REV-001,Provider-separated Builder and Reviewer,Independent Review,yes
REV-002,Trusted pinned reviewer runtime,Independent Review,yes
REV-003,Passive bounded review context,Independent Review,yes
REV-004,PASS BLOCK INCONCLUSIVE verdicts,Independent Review,yes
REV-005,Separate infrastructure and policy failures,Independent Review,yes
REV-006,Deterministic citation validation,Independent Review,yes
REV-007,Stable finding fingerprints,Independent Review,yes
REV-008,Scope-locked later rounds,Independent Review,yes
REV-009,Resolution by original citation,Independent Review,yes
REV-010,Bounded remediation attempts,Independent Review,yes
REV-011,Frozen reviewer evaluation corpus,Independent Review,yes
REV-012,Only validated P0/P1 findings block,Independent Review,yes
REV-013,P2 findings remain advisory,Independent Review,yes
REV-014,One primary reviewer plus one fallback,Independent Review,yes
REV-015,Verdict-shopping prohibition,Independent Review,yes
REV-016,End-to-end canary before blocking promotion,Independent Review,yes
REV-017,No retroactive review weakening,Independent Review,yes
SPEC-001,Intent Contract,Specification,yes
SPEC-002,Stable acceptance claim IDs,Specification,yes
SPEC-003,Stable invariant IDs,Specification,yes
SPEC-004,Stable forbidden-outcome IDs,Specification,yes
SPEC-005,Explicit non-goals,Specification,yes
SPEC-006,EARS requirement forms,Specification,yes
SPEC-007,Example Mapping,Specification,yes
SPEC-008,Specification by Example,Specification,yes
SPEC-009,BDD domain scenarios,Specification,yes
SPEC-010,ATDD acceptance agreement,Specification,yes
SPEC-011,Risk-adaptive Compact Structured Assured profiles,Specification,yes
SPEC-012,Fresh Specification Critic,Specification,yes
SPEC-013,Semantic Spec digest and version,Specification,yes
SPEC-014,Spec-change proof invalidation graph,Specification,yes
STD-001,Canonical Standards Index,Standards Adherence and Meta-Context,yes
STD-002,Always-On Constitutional Bootloader,Standards Adherence and Meta-Context,yes
STD-003,Deterministic Standards Route Compiler,Standards Adherence and Meta-Context,yes
STD-004,Meta-Context Applicability Engine,Standards Adherence and Meta-Context,yes
STD-005,Standards Context Receipt,Standards Adherence and Meta-Context,yes
STD-006,Standards Acceptance Test,Standards Adherence and Meta-Context,yes
STD-007,Fail-Closed Missing-Bootstrap State,Standards Adherence and Meta-Context,yes
STD-008,Pre-Write Standards Authorization,Standards Adherence and Meta-Context,yes
STD-009,Pre-Tool Policy Enforcement Point,Standards Adherence and Meta-Context,yes
STD-010,Critical Rules Cannot Be Prompt-Only,Standards Adherence and Meta-Context,yes
STD-011,Rule-to-Enforcement Traceability,Standards Adherence and Meta-Context,yes
STD-012,Applicable Instruction-Set Hashing,Standards Adherence and Meta-Context,yes
STD-013,Context Freshness Invalidation,Standards Adherence and Meta-Context,yes
STD-014,Dynamic Path-Risk-Phase Re-Routing,Standards Adherence and Meta-Context,yes
STD-015,Provider-Native Instruction Adapters,Standards Adherence and Meta-Context,yes
STD-016,Cross-Provider Instruction Equivalence,Standards Adherence and Meta-Context,yes
STD-017,Instruction Hierarchy Conflict Tests,Standards Adherence and Meta-Context,yes
STD-018,Untrusted-Content Instruction Boundary,Standards Adherence and Meta-Context,yes
STD-019,Subagent Standards Inheritance,Standards Adherence and Meta-Context,yes
STD-020,Standards Compliance Event Trail,Standards Adherence and Meta-Context,yes
STD-021,PR-Gate Compliance Receipt Validation,Standards Adherence and Meta-Context,yes
STD-022,Instruction Drift and Conflict Detection,Standards Adherence and Meta-Context,yes
STD-023,Standards Self-Modification Firewall,Standards Adherence and Meta-Context,yes
STD-024,Standards Adherence Canary Benchmark,Standards Adherence and Meta-Context,yes
STD-025,Monotonic deny-only policy guard,Standards Adherence and Meta-Context,no
STD-026,Trusted base-policy self-modification enforcement,Standards Adherence and Meta-Context,no
STD-027,Immutable tool execution identity with frozen arguments and results,Standards Adherence and Meta-Context,no
TEST-001,Seven-part Test Quality Contract,Testing,yes
TEST-002,Empty-green prohibition,Testing,yes
TEST-003,Oracle-change firewall,Testing,yes
TEST-004,TDD RED GREEN REFACTOR,Testing,yes
TEST-005,Acceptance and E2E testing,Testing,yes
TEST-006,Consumer-driven contract testing,Testing,yes
TEST-007,Integration and real persistence testing,Testing,yes
TEST-008,Property-based invariant testing,Testing,yes
TEST-009,Metamorphic relation testing,Testing,yes
TEST-010,State-machine model testing,Testing,yes
TEST-011,Differential and reference testing,Testing,yes
TEST-012,Targeted mutation testing,Testing,yes
TEST-013,Risk-directed fuzz testing,Testing,yes
TEST-014,Security scanner synthetic canaries,Testing,yes
TEST-015,Performance and load budgets,Testing,yes
TEST-016,Fault injection and chaos testing,Testing,yes
TEST-017,Narrow formal and model checking,Testing,yes
TEST-018,Test-impact-aware selection,Testing,yes
TEST-019,Model-visible input and policy record-replay,Testing,no
THIN-001,Thin Milestone outcome boundary,Thin Work,yes
THIN-002,Thin Spec semantic boundary,Thin Work,yes
THIN-003,One observable Issue outcome,Thin Work,yes
THIN-004,Vertical Thin Slice decomposition,Thin Work,yes
THIN-005,Parent and native sub-Issue dependencies,Thin Work,yes
THIN-006,Slice Complexity Signal,Thin Work,yes
THIN-007,Machine-gated Definition of Ready,Thin Work,yes
THIN-008,Stable one-outcome Prompt Contract,Thin Work,yes
THIN-009,One branch worktree writer PR proof strategy,Thin Work,yes
THIN-010,Reversible or recoverable delivery unit,Thin Work,yes
THIN-011,Quantified semantic thinness bands,Thin Work,no
THIN-012,Pull-request logical LOC and authored-file warning bands,Thin Work,no
TOOL-001,Complete canonical artifact inventory,Templates and Tooling,yes
TOOL-002,Versioned JSON Schemas,Templates and Tooling,yes
TOOL-003,Positive and negative template fixtures,Templates and Tooling,yes
TOOL-004,Canonical and active template synchronization,Templates and Tooling,yes
TOOL-005,No successful placeholder commands,Templates and Tooling,yes
TOOL-006,Modular standardctl architecture,Templates and Tooling,yes
TOOL-007,Capabilities ready invalidate triage commands,Templates and Tooling,yes
TOOL-008,Exact-SHA standard.lock written last,Templates and Tooling,yes
TOOL-009,Digest-pinned offline bootstrap bundle,Templates and Tooling,yes
TOOL-010,CLI compatibility and alias preservation,Templates and Tooling,yes
TOOL-011,Controlled Superpowers and skill-load budget,Templates and Tooling,no
VF-001,Two completed SDVFD arcs,Verification First,yes
VF-002,Verification Arc with zero production code,Verification First,yes
VF-003,Verification Mold per slice,Verification First,yes
VF-004,Qualified RED before implementation,Verification First,yes
VF-005,True-RED failure-reason validation,Verification First,yes
VF-006,Criterion-to-evidence traceability,Verification First,yes
VF-007,Independent oracle qualification,Verification First,yes
VF-008,Independent Mold Attack,Verification First,yes
VF-009,Mold process meta-tests,Verification First,yes
VF-010,Frozen mold hash and protected paths,Verification First,yes
VF-011,Builder implementation authorization gate,Verification First,yes
VF-012,Explicit mold reopen and requalification,Verification First,yes
VF-013,Intent-change invalidation of authorization,Verification First,yes
VF-014,Release Verification Mold,Verification First,yes
